Ubigeo;Departamento;Provincia;Distrito;Población
010202;AMAZONAS;BAGUA;ARAMANGO; 10 149
010201;AMAZONAS;BAGUA;BAGUA ; 29 905
010203;AMAZONAS;BAGUA;COPALLÍN; 4 660
010204;AMAZONAS;BAGUA;EL PARCO; 1 287
010205;AMAZONAS;BAGUA;IMAZA; 32 136
010206;AMAZONAS;BAGUA;LA PECA ; 6 535
010302;AMAZONAS;BONGARÁ;CHISQUILLA;  319
010303;AMAZONAS;BONGARÁ;CHURUJA;  301
010304;AMAZONAS;BONGARÁ;COROSHA;  825
010305;AMAZONAS;BONGARÁ;CUISPES;  684
010306;AMAZONAS;BONGARÁ;FLORIDA; 6 397
010307;AMAZONAS;BONGARÁ;JAZÁN; 7 931
010301;AMAZONAS;BONGARÁ;JUMBILLA; 1 332
010308;AMAZONAS;BONGARÁ;RECTA;  218
010309;AMAZONAS;BONGARÁ;SAN CARLOS;  551
010310;AMAZONAS;BONGARÁ;SHIPASBAMBA; 1 678
010311;AMAZONAS;BONGARÁ;VALERA;  837
010312;AMAZONAS;BONGARÁ;YAMBRASBAMBA; 5 757
010102;AMAZONAS;CHACHAPOYAS;ASUNCIÓN;  278
010103;AMAZONAS;CHACHAPOYAS;BALSAS; 1 180
010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS; 39 051
010104;AMAZONAS;CHACHAPOYAS;CHETO;  702
010105;AMAZONAS;CHACHAPOYAS;CHILIQUÍN;  589
010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA; 1 933
010107;AMAZONAS;CHACHAPOYAS;GRANADA;  539
010108;AMAZONAS;CHACHAPOYAS;HUANCAS; 1 456
010109;AMAZONAS;CHACHAPOYAS;LA JALCA; 3 966
010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA; 3 815
010111;AMAZONAS;CHACHAPOYAS;LEVANTO;  803
010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;  911
010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA; 1 534
010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA; 2 266
010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;  487
010116;AMAZONAS;CHACHAPOYAS;OLLEROS;  435
010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;  792
010118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;  323
010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;  590
010120;AMAZONAS;CHACHAPOYAS;SOLOCO; 1 261
010121;AMAZONAS;CHACHAPOYAS;SONCHE;  277
010402;AMAZONAS;CONDORCANQUI;EL CENEPA ; 12 537
010401;AMAZONAS;CONDORCANQUI;NIEVA ; 20 847
010403;AMAZONAS;CONDORCANQUI;RÍO SANTIAGO; 17 960
010502;AMAZONAS;LUYA;CAMPORREDONDO; 7 515
010503;AMAZONAS;LUYA;COCABAMBA; 2 045
010504;AMAZONAS;LUYA;COLCAMAR; 1 933
010505;AMAZONAS;LUYA;CONILA; 1 923
010506;AMAZONAS;LUYA;INGUILPATA;  486
010501;AMAZONAS;LUYA;LAMUD; 2 375
010507;AMAZONAS;LUYA;LONGUITA;  883
010508;AMAZONAS;LUYA;LONYA CHICO;  858
010509;AMAZONAS;LUYA;LUYA; 4 118
010510;AMAZONAS;LUYA;LUYA VIEJO;  405
010511;AMAZONAS;LUYA;MARÍA;  776
010512;AMAZONAS;LUYA;OCALLI; 3 950
010513;AMAZONAS;LUYA;OCUMAL; 3 712
010514;AMAZONAS;LUYA;PISUQUIA; 5 075
010515;AMAZONAS;LUYA;PROVIDENCIA; 1 389
010516;AMAZONAS;LUYA;SAN CRISTÓBAL;  550
010517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;  732
010518;AMAZONAS;LUYA;SAN JERONIMO;  621
010519;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;  434
010520;AMAZONAS;LUYA;SANTA CATALINA; 2 145
010521;AMAZONAS;LUYA;SANTO TOMÁS; 3 070
010522;AMAZONAS;LUYA;TINGO; 1 375
010523;AMAZONAS;LUYA;TRITA; 1 457
010602;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO; 2 877
